"promise","goal"
"주민 희망마을’ 추진","○ ‘주민희망마을’ 10곳 조성? 도로정비, 생활환경 개선, 안전시설 등 마을 공동인프라 조성? 주민커뮤니티센터 설치 운영 등을 통한 마을 공동체 활성화? 주택개량 및 관리 지원 등 주거복지 서비스를 통한 주거환경 개선? 지역특성에 따라 주민주도의 계획수립을 통한 마을의 미래상 공유"
"서울 문화관광을 위한 참여형 스토리 플랫폼 구축","○ 서울 매력명소 이야기를 수집, 공유할 수 있는 시민참여 주도의 스토리 플랫폼 구축으로 관광자원 기반 마련
○ 다양한 형태의 시민참여 및 모바일 플랫폼 신설을 통해 서울문화관광 홍보 및 체험기회 확대"
"낙후된 전통제조업 지구의 스마트제조업 및 1인 제작자 놀이터로 조성","○ 낙후된 전통 제조업 지구내에 스마트제조업 공간이나 1인 제작자 놀이터 조성"
"커뮤니티 매핑을 통한 시민참여형 재난극복시스템 구축","○ 생활 속 안전사고 위험요인이나 재난징후 등에 대한 시민들의 자발적신고를 유도하고 안전에 대한 관심 제고"
"디지털 국제페스티벌 개최","○ 글로벌 혁신 주체들이 모여 서울의 디지털 문화를 공유하고 확산하는국제 행사를 개최함으로써 디지털 혁신 주체들 간 교류의 장 마련"
"“디지털 싱크탱크 : 서울디지털재단” 설립","○ 디지털 서울 구현과 디지털 산업 육성?지원을 위한 디지털 싱크탱크‘서울디지털재단’ 설립, 운영"
"서울전역 와이파이존 구축","○ 유동인구 집중지역 공공 무선인터넷 10,000개소(AP) 설치
○ 7,500대 시내버스 공공 무선인터넷 설치"
"공중화장실 쉽게 찾도록 도와드려요","○ 공중화장실 관련정보 온라인 실시간 제공"
"여성에게 꼭 필요한 가이드정보를 내 손안에!","○ 서울여성의 서울시 여성정책 정보력 향상을 위하여 여성가이드북을 제작하여 여성관련 시설 등에 배포 및 모바일 앱 개발"
"서울시가 장애청소년의 휴가를 지원합니다","○ 이동이 불편한 장애 청소년(15세~24세)과 후원자를 연계하여 여행경비, 물품 및 동행 지원을 통해 휴가 체험 기회 제공"
"길 잃은 장난감, 어린이에게로 찾아가요","○ 지하철, 버스, 택시 등 교통 수단내 유실물 중 찾아가지 않은 장난감 등 어린이 용품을 저소득층 자녀에게 기부"
"함께나눠쓰는공구,서울시공구은행","○ 저렴한 비용으로 다양한 공구를 편리하게 이용
○ 지역 자원봉사 활동을 쉽고 편하게 할 수 있도록 공구은행(공구도서관) 설치"
"독서토론 도우미가 어르신 치매예방을 도와드려요","○ 독서토론 도우미를 활용한 독서치료 활동을 통해 어르신 치매예방과 다양한 독서 유도를 통한 독서문화 활성화"
"공원과 산책로 칼로리 게시판 후원합니다","○ 시민들이 이용하는 공원 및 산책로에 ‘칼로리 소비량’ 정보게시판을 설치하여 운동 효과에 대한 정보 제공과 신체활동 활성화 동기부여"
"서울 선데이파크에서 놀면서 살빼요","○ 가족 단위 주말 야외 놀이 프로그램 활성화"
"우리 아이 돌보미, 서울시가 찾아드려요","○ 서비스 연계 및 아이돌보미 양성을 통한 맞벌이 가정 등에 다양한 맞춤형 아이돌봄 서비스의 효과적 제공"
"건강비법, ‘서울 건강지도’로 확인하세요","○ 서울시민에게 건강관련 통합정보서비스 제공 홈페이지 개설·운용"
"외톨이 청소년, 서울시랑 친구해요!","○ 외톨이 청소년의 심리·정서적 안정 및 사회성 향상을 고취하여 건강한 사회인으로 성장할 수 있는 서비스 체계 구축"
"다문화 창업, 서울시가 힘을 보탭니다","○ 창업을 통한 결혼이민자, 귀화자 등 다문화가족의 성공적 경제적 자립"
"서울 안전신고 포상제","○ 생활 속 안전사고 위험요인이나 재난징후 등에 대한 시민들의 자발적 신고를 유도하고 안전에 대한 관심 제고"
"도서관 행복도우미로 우리 동네 도서관이 편리해져요","○ 공공
-작은도서관 연계를 통해 사서에 의한 작은도서관 지원체계 구축
○ 자원봉사자(명예관장, 행복도우미)를 활용하여 작은도서관 활성화 도모"
"어르신자서전, 서울시가 어르신을 지원합니다","○ 65세 이상 희망어르신 총 500명 어르신 자서전 지원"
"‘어린이 집 아동보호수칙’이 있잖아요","○ 어린이집이 지켜야 할 ’아동보호 수칙’을 마련하여 어린이집, 부모에게 제공"
"서울에 휠체어 그네가 생겨요","○ 대형공원 놀이터에 장애아동들도 이용할 수 있는 휠체어 그네시설 등 놀이기구 설치"
"즐거운 여름방학 체험 프로그램","○ 방학동안 건전한 놀이문화, 자원봉사, 직업체험, 저소득층 캠프 등 청소년을 위한 알찬 여름방학 체험 프로그램 운영"
"청각장애인과 함께 CCTV로 만드는 안전한 서울","○ 서울시 CCTV 모니터링 업무에 청각장애인을 채용함으로써 시민의 안전을 책임지는 양질의 장애인 일자리 제공"
"중증장애인 및 독거노인을 위한 이동식 이불빨래방!","○ 이동식 이불빨래방 운영으로 이동이 불편한 독거어르신·중증장애인에대한 생활환경 개선 및 삶의 질 제고"
"서울시와 종교계가 함께하는 ‘살사’ 프로젝트","○ 서울시가 종교계와 함께 주민밀착형, 자살예방체계를 구축하여 생명존중에 대한 연대의식을 고취하고 위기대응 능력을 강화하여 사각지대 없는 서울시민 자살예방 안전망을 확립함"
"휴대폰 무료로 충전해 드려요","○ 시민들이 휴대폰 배터리 방전으로 긴급한 통화를 못할 경우를 대비하여 지하철 역사에 휴대폰 무료 충전서비스 및 휴대용 배터리 대여서비스 제공"
"‘희망서울, 행복가족’을 발간하겠습니다","○ 가족구조의 변화에 적응하고 미래지향적 가족관계 증진을 위한 대안 제시 등을 담은 가족보고서 연1회, 500부 발간
○ 가족 정보의 창(窓), ’서울시 패밀리 포털 사이트’ 개설(’17년)"
"임산부도 편안한 대중교통을 서울시가 마련합니다.","○ 지하철, 버스 등 대중교통 수단내 임산부를 배려하기 위한 좌석디자인을 변경하여 임산부가 더욱 편리하게 이용하도록 개선"
"어르신 건강버스, 서울시가 찾아갑니다","○ 경제적 어려움이나, 거동이 불편하여 멀리 떨어진 병원을 이용하기 어려운 어르신을 위해 어르신 건강버스 운영"
"달리는 공기청정기로 미세먼지 잡아요!","○ 분진흡입청소의 확충과 미세먼지 발생원에 대한 감독 강화로 시민들의 초미세먼지 노출을 최소화하여 건강보호 기여"
"에너지절약건물, 인증명패를 달아드립니다","○ 에너지절약건물에 대한 인증 및 명패달기 사업으로 에너지 절약에 대한사회적 공감대 확산"
"스모그 잡는 친환경 소재, 서울시가 설치합니다","○ 대기오염을 줄일 수 있는 친환경 소재 벽면 관리 등을 통해 오염물질감축 및 시민건강 도모"
"음식물 쓰레기, 서울시가 돈이 되게 해 드려요","○ 음식물쓰레기 발효통 보급
○ 음식물쓰레기 퇴비 재활용을 통해 지속가능한 도시농업 활성화에 기여"
"우리 동네 거리에 과일이 넘쳐요","○ 자연의 이해도 높이고 심신의 안정과 정서순화에 기여
○ 삭막한 도심 속에서 고향의 정감이 넘치는 공간 조성"
"서울시민 체력인증제, 도전하십시오!","○ 서울시민의 생애주기별 스포츠활동을 체계적으로 지원하기 위하여 과학적으로 체력을 측정할 수 있는 서울시민 체력인증제 추진
○ 서울시민 체력인증 행사를 통한 체력인증제 홍보 및 체력증진왕 시상
"
"시민들과 함께 만드는 나눔 주차장","○ 기존 부설주차장을 이웃과 공동으로 이용함으로써 물리적인 주차공간 확충의 한계 극복 및 나눔 문화 확산"
"나무와 꽃에 이름표를 함께 달아요","○ 생활주변 길거리, 공원 등의 아름다운 꽃과 나무에 이름표 달기"
"어린이를 위한 안전한 집, 서울시가 인증해 드려요","○ 안심하고 아이를 키울 수 있는 공동주택 주거환경 조성"
"의자가 있는 서울의 거리","○ 유휴 도시공간을 창의적 컨셉의 의자가 있는 휴식공간으로 조성"
"스마트형 공공 쓰레기통, ‘진격의 스마통’","○ 태양광을 접목한 똑똑한 쓰레기통 보급으로 거리 청결 향상 및 청소 혁신
- ’15년 상반기까지 태양광을 활용한 미래형 휴지통 개발, 15개소 설치 운영을 통해 지속가능한 서울형 스마트 쓰레기통 모델 개발"
"시민들이 도심의 버려진 공간을 살려요","○ ‘Renew
-Creative’ 공모전 개최(매해 5월)
○ 시민의 창의적 아이디어로 유휴공간을 활용 공공장소 만들기"
"자전거 거치대를 무료로 드립니다","○ 안전하고 편리하게 자전거 출퇴근이 가능하도록 자전거 통근자를 위한 자전거 거치대 무료설치"
"밤에도 안전한 반짝반짝 빛나는 자전거도로","○ 자전거도로 교통안전시설 보강으로 야간 시인성 강화"
"나를 감동시킨 착한 택시를 알려 드릴게요","○ 친절하고 모범적인 택시기사를 발굴, ‘나를 감동시킨 친절 택시’로 선정·홍보하여 시민에게 신뢰받는 선진적인 택시문화 정착"
"보행환경 점수제","○ 서울시 주요 보행로에 대한 보행환경 평가 및 정보 제공"
"예술이 되는 매력적인 버스정류장!","○ 버스정류장에 독특한 디자인을 적용한 ‘디자인승차대’ 설치를 통해 도시의 새로운 명물로 재탄생"
"서울시 보행 마일리지","○ 생활 속의 걷기 실천 시민에게 보행마일리지 제공 및 사용처 확보"
"배리어프리(barrier
-free) 버스정류장","○ 장애인, 어르신 등 교통약자의 버스정류소 접근 및 승하차 불편해소를 위해 무장애정류소 설계 및 지침 마련"
"시민들께 서울의 혁신점수를 알려드려요","○ 매년 혁신지수를 조사 발표하여 시민들께 서울의 혁신역량에 대한 정보를 제공하고 조사결과를 정책진단 및 평가 시 반영"
"서울의 생활정보, 손 안에서 확인하세요","○ 시민들이 스마트 폰으로 우리 시에서 제공하는 ‘물가정보’에 쉽게 접근할 수 있도록 모바일 웹(시스템)을 개발함"
"위대한 골목가게 탄생, ‘우리 가게 콘테스트’","○ 자활의지 강한 영세자영업 점포 디자인 및 경영개선 지원을 통해 골목상권 활성화"
"관광지 혼잡, 모바일로 미리 확인하세요","○ 서울의 주요 관광지 유동인구(혼잡도) 정보와 함께, 명소/맛집/숙박/공연예약 등 종합적인 관광정보를 모바일을 통해 서비스 하여 관광객 편의 향상"
"전통시장 장보기, 서울시가 보관해 드립니다","○ 쇼핑환경 개선을 위한 보관센터 운영으로 전통시장 활성화에 기여"
"서울의 역사와 명소, 애니메이션 속에서 만나요","○ 서울 홍보 장편 애니메이션 1편 제작
- 공모를 통해 선정된 제작사를 지원하여 장편 애니메이션 제작
○ 애니메이션을 활용한 OSMU(One Source, Multi Use) 추진으로 관광 활성화 및 도시 브랜드 제고
- 테마파크, 뮤지컬, 축제, 완구 등 애니메이션을 기반으로 한 서울의 부가가치 창출"
"우리 동네 상권에도 로고가 생겼어요!","○ 침체 위기에 놓여있는 상가 밀집지역을 대상으로 상권 로고제작과 홍보를 지원함으로써 상권의 인지도 향상 및 경쟁력 강화를 도모"
"위기의 중소기업 대처방법을 알려드립니다","○ 중소상공인대상 창업·영업·폐업 등 전 과정의 지침서 보급으로 경영위기 대처능력 제고"
"배리어프리 관광, 서울시가 인증합니다","○ 관광상품에 대한 배리어프리 정보를 제공하고, 배리어프리 기준을 갖춘 관광상품의 품질 보증을 위한 인증제 도입"
"종교계와 함께하는 희망수레(사회적 배려기업)","○ 참신한 아이디어와 상품을 보유한 작지만 소중한 기업을 위한 유통망 확산과 마케팅 지원을 통해 서울형 창조경제를 뒷받침할 글로벌 강소기업으로 육성"
"동네 위해 헌신하신 사장님의 공헌을 인증합니다","○ 지역사회 내 환경개선, 장애인지원, 자원봉사 등 지역사회공헌 활동을실시한 소상공인(점포)를 선정하여 홍보 등 각종 인센티브 제공"
"시민이 참여하는 사진있는 공원 만들기","○ 공원에서 열리는 시민참여 사진 공모 전시회 개최"
"우리 동네 아티스트 서울시가 공간으로 후원해요","○ 지역 내 유휴시설 활용 연습공간 및 생활권 내 공연기회 확대를 통한 예술가의 창작활동 및 자립기회 제공"
"거동이 불편하세요? 도서관이 찾아갑니다","○ 도서관 방문이 어려운 장애인등 거동불편자들에게 원하는 자료를 거주지에 무료배달(대출/반납)하여 신체적 여건에 관계없이 정보이용과 정보접근 기회 확대"
"춤추고 노래하는 공원등과 함께해요","○ 공원 내 춤추고 노래하는 공원등을 설치하여 삭막한 도시에 생기와 활력을 제공"
"예술가와 함께하는 나이야 물럿거라! 나도 예술가","○ 어르신 예술가 매년 100명 교육 지원"
"도로를 시민들의 문화공간으로 돌려드려요","○ 동네 주민들이 주인공이 되는 지역별 맞춤형 모델을 구축 지원하여 골목길, 도로 등을 시민들의 문화공간으로 회복"
"시민카드로 마음껏 빌려가세요","○ 공공도서관 대출, 장난감 대여, 체육시설 이용 등 여러 행정 서비스를 편리하게 이용할 수 있는 ‘서울시민카드’ 도입"
"음악으로 지키는 안전한 우리 동네!","○ 지하도 등 불안을 느끼는 지역에 클래식 음악방송으로 범죄예방
○ 우범지역 선정 후 스피커 설치, 위험시간대 클래식 음악 송출"
"응급상황별 대피요령 가이드라인 발간","○ 주요 재난재해 및 응급상황별 대처요령을 책자형태로 제작·배포
○ 시민들이 쉽게 접근하여 숙지토록 온라인 등 다양한 수단 활용"
"깨끗한 ‘아리수 음수대’가 찾아갑니다","○ 도시의 길거리 등 도심 주요지점에 아리수 음수대를 설치하여 깨끗하고 맛있는 아리수를 시민께 제공"
"시민이 돕는 외국인을 위한 대피요령 매뉴얼","○ 재난·재해상황 발생시 서울에 거주 또는 관광 중인 외국인의 안전확보를 위해 재난대피요령 안내매뉴얼을 제작·보급
○ 관계분야 종사자 등에 대한 교육을 통해 안전도시 조성에 기여"
"어린이 안전, 노래와 게임으로 재미있게 배워요!","○ 재미있게 배울 수 있는 어린이 눈높이에 맞는 교육 콘텐츠 제작
○ 어린이가 쉽게 접근할 수 있는 다양한 수단을 활용하여 보급"
"도시소음도 스마트관리시대","○ 도시소음에 대한 매뉴얼 마련을 통해 시민들이 실체 체감하는 수준에서 대처방안을 스스로 마련하여 소음에 스마트하게 대처"
"우리 동네 안전감시단","○ 주민 스스로 지역의 안전감시 활동을 통해 안전 위해요소들을 발굴 개선해 나감으로써 안심하고 안전하게 사는 우리동네 조성"
"서울시정 대학생 인턴십 프로그램","○ 대학생 인턴십을 통해 취업시장의 이상적인 인재상으로 육성"
"집으로 시청을 배달합니다","○ 관공서에서 멀리 떨어진 취약지역, 취약계층 밀집지역 등에 ‘찾아가는 시청트럭’을 운영함으로써 시민편의성 및 민원서비스 만족도 제고"
"‘서울 시정학교’로 오세요","○ 복잡한 행정절차나 어려운 정책용어를 시민들에게 알기 쉽게 알려주는 시정학교(아카데미)를 운영함으로써 시정에 대한 이해 도모"
"꼬마 건축가, 서울시로 모여라!","○ 꼬마건축가 프로그램은 학생들 스스로가 생활의 공간이 건축을 이해하고,강의와 답사 등을 통해 지역생활 속에서 건축의 역할과 공간의 소중함을 체험할 수 있는 계기 마련"
"학교폭력 대처 방법, 서울시가 알려드립니다","○ 학교폭력에 대한 대응 방안을 마련함으로써 학교폭력사건을 원활히 해결하여학교폭력 피해학생 2차 피해 방지
○ 외톨이 청소년의 심리·정서적 안정 및 사회성 향상을 고취하여 건강한사회인으로 성장할 수 있는 서비스 체계 구축"
"서울 굿파더 프로그램과 함께해요","○ 가부장적 한국문화에 익숙한 남성을 대상으로 강연 및 체험 프로그램을 진행함으로써 가정 내 소통과 평등문화를 확산하고, 자녀 양육에 힘쓰는 새로운 아버지상을 정립하고자 함"
"도시텃밭 매뉴얼로 ‘텃밭가꾸기’ 확인하세요","○ ‘쉽게 배우는 도시텃밭 가꾸기’ 매뉴얼 제작·배포 및 모바일 웹 운영"
"‘희망기네스’! 서울에서 이것만큼은 내가 최고!","○ 다양한 공익활동이나 사회적기업, 마을기업 등 사회적 가치지향의 사업 등을대상으로 공모?선정하여 함께 공유함으로써 서울시민의 자긍심 고취"
"“알뜰살뜰 서울시 가계부”, 일간지에 공개합니다","○ 시 재정상황을 주요 일간지에 게재하여 투명한 재정체계 운영
※ 게재내용
① 세입·세출예산의 집행상황
② 재무보고서
③ 지방채·일시차입금 등 채무의 현재액
④ 채권관리 현황
⑤ 기금운용 현황
⑥ 공유재산의 증감 및 현재액
⑦ 재정건전화계획 및 이행현황
⑧ 통합재정정보
⑨ 기타 재정 운용에 관한 중요사항
⑩ 재정분석 및 감사결과 등"
"어린이 체험학습 프로그램, 일목요연하게 모아드려요","○ 서울시 공공기관 및 시설, 공원, 도서관, 박물관 등에서 운영하는 어린이 체험프로그램 통합정보사이트를 구축하여, 쉽고 편하게 어린이와 학부모가 재미있고 안전한 놀이프로그램 및 시설 이용"
"우리아이들안전을위한학교앞차량통행제한","○ 학교 앞 어린이보호구역의 ‘등 하교시간 차량통행제한’ 확대 실시로안전한 등하교 교통환경 조성"
"시민 큐레이터에 도전해 보세요","○ 시민이 직접 전시를 기획하여 문화창조자로서 발돋움하고, 미술전시의 대중화 모색
○ 일반 시민에게 전문적인 큐레이터 양성교육을 제공하여 공공미술관으로서 사회 교육적 역할 수행
○ 일반시민이 예술을 통해 사회와 소통할 수 있는 장 마련"
"노인상대 사기범죄! ‘실버 보안관’이 지킨다","○ 노인상대 ‘떴다방’ 사기범죄 제로"
"서울 시니어 올림픽","○ 꽃할배 서울시니어 올림픽 매년 개최"
"문화가 함께하는 우리 마을 소극장으로 놀러오세요","○ 주민센터, 도서관 등 공공시설을 활용한 영화 상영 지원으로 영화를 통한가족 간?세대 간 소통 및 시민 문화생활 향유 기회 확대"
"과학관(움직이는 실험학교)을 배달해 드려요","○ 소외계층 청소년을 대상으로 주변에서 쉽게 과학분야를 체험·학습할 수있도록 프로그램을 제공하여 청소년의 사고력과 창의력 향상 도모"
"테마가 있어 즐거운, ‘펀펀(fun fun) 지하철’","○ 지하철 객차 내 소규모 공연, 작품전시 등 시민들의 자발적인 참여에 의한 문화행사로 시민들이 즐길 수 있는 펀펀지하철 운영"
"부모와 자녀가 함께 만드는 ‘패밀리셰프’","○ 부모와 자녀가 함께 요리하며 소통하는, 부모 역할 정립 및 자녀 인성함양의 ’패밀리셰프’ 프로그램을 자치구 건강가정지원센터에서 운영
○ 가족관계 인식변화 사전
-사후 조사 보고"
"원격 ‘스마트 제설’로 눈길사고 방지해요!","○ ’노즐형 액상살포장치’ 설치 확대
○ 스마트폰 및 PC 전용 프로그램 활용 원격 제설"
"다세대주택 범죄자! ‘특수 형광물질’이 다 잡아냅니다","○ 디자인을 통해 환경을 개선함으로써 범죄자의 심리를 위축시켜 범죄를 사전에 차단하는 범죄예방디자인 적용
○ 시민의 삶의 질 향상, 범죄로 인한 사회적 비용 절감 및 예방행정의 새로운 패러다임 제시"
"‘방범우수 건물’ 서울시가 인증해 주었어요!","○ 범죄로부터 안전한 평온한 건축물 환경을 조성하여 절도 등 침입범죄 사전 예방"
"전통시장이 안개비로 시원해집니다.","○ 전통시장 분무냉방 장치 설치"
"전통시장 방송홍보, 서울시가 지원합니다","○ 전통시장 활성화를 위한 다각적 홍보채널 구축"
"외국인 친화형 메뉴판과 라벨","○ 대학생·시민의 디자인 재능기부를 활용, 외국인 방문이 빈번한 음식점을 위해 외국인이 이해하기 쉬운 외국어 표기 메뉴판 제작·배포"
"‘천년의 도시, 100개의 얼굴’ 공모전","○ 도시의 얼굴이 되는 아름다운 건축물 발굴 및 관리를 통해 관광자원화"
"모바일 안전지킴이","○ 재난상황별 대응매뉴얼을 시민이 필요한 순간에 실시간 제공"
"모래놀이터","○ 테마놀이터 조성 시 시범교체 후 창의놀의터 조성 및 혁신놀이터 조성등 신규조성 시, 모래교체사업 포함하여 추진"
"시민청 확대(市 자체 시민청 추가 건립)","○ 희망서울의 대표시민소통 창구이자 신개념 복합 문화공간으로서의 시민청에 대한 근거리 서비스 수요를 충족하는 동시에, 소통시정의물리적 거점 확충"
"식품에 대한 방사능검사 실시","○ 유통식품에 대한 방사능 오염 안전성 모니터링 및 학교 급식재료에 대한식품오염 방사능 검사체계를 구축하여 식재료에 대한 안전성 신뢰 회복
○ 식품오염방사능 검사 강화
- 식품오염 방사능 검사확대 : ’13년 연 500건 → ’15년 이후 연 1,000건
- 농수산물 및 가공식품 등 1주 10건 검사 → 1주 20건 이상
- 정밀검사기기 추가확보(1대) 운영 : ’14.10월 (총 2대 운영)
○ 시민 식품오염 방사능 검사신청제 활성화 추진
- 시민이 방사능 오염 의심 식품에 대하여 검사신청
- 검사결과 공개하여 정확한 정보제공 및 시민소통 강화
○ 어린이집 및 학교 등 급식재료 방사능 정밀검사 추진
- 친환경유통센터 연계 학교 급식 식재료 검사확대 (1주 5건 → 1주 10건)
- ‘시민 식품오염 방사능 검사 신청제’ 적극 안내 홍보 (교육청, 어린이집)"
"전통(재래)시장 투어버스","○ 전통시장 버스정류소 접근성 향상 및 관련 노선 안내 강화"
"사고위치 번호판 운영","○ 터널내 화재 및 차량사고 등 재난 발생시 신속한 신고로 조기에 대응할 수 있도록 터널내 위치 번호판 설치"
"길거리 재활용 전문미화원","○ 폐지수집 어르신을 주택가 재활용정거장을 관리하는 자원관리사로 선정,안정적이고 지속적인 일자리 마련 제공"
"자전거 공기주입기 설치","○ 자전거 바퀴 공기주입기를 자전거 이용이 많은 지역 곳곳에 설치하여 자전거 이용 시민의 편의성 제고"
"서울시 의안포털 구축","○ 서울시 자치구의 의안과 회의록을 통합하여 검색할 수 있는 서울시의안포털을 구축하여 대시민 검색 편리성 제공"
"아르바이트 청년을 위한 전담 노무사 도입","○ 아르바이트 청년의 노동권리 침해 예방·구제를 위한 전문인력 확대
○ 아르바이트 청년 권리보호센터를 통한 권리구제 활성화 및 캠페인·사업자 교육을 통한 의식개선"
"책의 도시 서울 만들기","○ 민관협력 강화로 시민참여형 도서관 발전과 독서문화진흥 추진
○ 작은도서관과 지역서점 지원을 통한 지역정보격차 해소
○ 도서정가제에 시행에 따른 서울시 공공도서관 지속적인 장서확충 유지
○ 도서관 운영비 확대 지원하여 정보자료서비스 수준 제고와 독서문화환경 조성으로 책 읽는 서울 구현"
"딱 맞춤 분리수거 쓰레기통 설치","○ 분리수거 가능한 휴지통 확대 보급 및 1회용 컵 전용 수거용기 설치를통한 청결한 거리환경 조성 및 자원 재활용 확대"
